Time resolution is 1 ps
Time = 2190 | serial_in = 1 | Internal stream_in = 00010101 | parity_out = 0
Time = 2195 | serial_in = 1 | Internal stream_in = 00010101 | parity_out = 1
Time = 2200 | serial_in = 0 | Internal stream_in = 00010101 | parity_out = 1
Time = 2205 | serial_in = 0 | Internal stream_in = 00010101 | parity_out = 0
Time = 2210 | serial_in = 0 | Internal stream_in = 00010110 | parity_out = 0
Time = 2250 | serial_in = 1 | Internal stream_in = 00010110 | parity_out = 0
Time = 2255 | serial_in = 1 | Internal stream_in = 00010110 | parity_out = 1
Time = 2260 | serial_in = 0 | Internal stream_in = 00010110 | parity_out = 1
Time = 2270 | serial_in = 1 | Internal stream_in = 00010110 | parity_out = 1
Time = 2275 | serial_in = 1 | Internal stream_in = 00010110 | parity_out = 0
Time = 2285 | serial_in = 1 | Internal stream_in = 00010110 | parity_out = 1
Time = 2290 | serial_in = 0 | Internal stream_in = 00010110 | parity_out = 1
Time = 2305 | serial_in = 0 | Internal stream_in = 00010110 | parity_out = 0
Time = 2310 | serial_in = 0 | Internal stream_in = 00010111 | parity_out = 0
Time = 2350 | serial_in = 1 | Internal stream_in = 00010111 | parity_out = 0
Time = 2355 | serial_in = 1 | Internal stream_in = 00010111 | parity_out = 1
Time = 2360 | serial_in = 0 | Internal stream_in = 00010111 | parity_out = 1
Time = 2370 | serial_in = 1 | Internal stream_in = 00010111 | parity_out = 1
Time = 2375 | serial_in = 1 | Internal stream_in = 00010111 | parity_out = 0
Time = 2385 | serial_in = 1 | Internal stream_in = 00010111 | parity_out = 1
Time = 2395 | serial_in = 1 | Internal stream_in = 00010111 | parity_out = 0
Time = 2400 | serial_in = 0 | Internal stream_in = 00010111 | parity_out = 0
Time = 2410 | serial_in = 0 | Internal stream_in = 00011000 | parity_out = 0
Time = 2450 | serial_in = 1 | Internal stream_in = 00011000 | parity_out = 0
Time = 2455 | serial_in = 1 | Internal stream_in = 00011000 | parity_out = 1
Time = 2465 | serial_in = 1 | Internal stream_in = 00011000 | parity_out = 0
Time = 2470 | serial_in = 0 | Internal stream_in = 00011000 | parity_out = 0
Time = 2510 | serial_in = 0 | Internal stream_in = 00011001 | parity_out = 0
Time = 2550 | serial_in = 1 | Internal stream_in = 00011001 | parity_out = 0
Time = 2555 | serial_in = 1 | Internal stream_in = 00011001 | parity_out = 1
Time = 2565 | serial_in = 1 | Internal stream_in = 00011001 | parity_out = 0
Time = 2570 | serial_in = 0 | Internal stream_in = 00011001 | parity_out = 0
Time = 2590 | serial_in = 1 | Internal stream_in = 00011001 | parity_out = 0
